symbol,timeframe,side,setup,status,signal_ts,signal_time_utc,age_bars,score,grade,last_price,ema200,atr14,trigger,stop,target_1r,target_2r,target_3r,structure_target,structure_target_r,risk_pct,quote_volume_24h,touch_count,cross_count,ema_slope_atr,distance_from_ema_atr,volume_ratio,trigger_ts,trigger_time_utc,invalidation_ts,invalidation_time_utc,current_r,no_chase,reasons,warnings,score_components,is_recent,state_change
PEPEUSDT,1D,LONG,EMA_ACCEPTANCE,CONFIRMED,1787270400000,2026-08-21T00:00+00:00,4,95.8210485737887,A,3.8e-06,3.6180521420924447e-06,2.2626021717920238e-07,4.57e-06,3.1600000000000002e-06,5.98e-06,7.39e-06,8.8e-06,,,30.85339168490153,30917064.98270044,1,1,-0.34824595218427523,2.2184538853774876,11.829717172267872,,,,,-0.546099290780142,False,closed-candle acceptance confirmation; decisive body displacement through the EMA; first EMA test episode; volume expansion; 4H regime aligns,EMA slope opposes the setup,"{'valid_setup': 45.0, 'confirmation': 10.0, 'body_displacement': 8.0, 'body_quality': 6.0, 'ema_displacement': 5.0, 'ema_slope': -4.178951426211302, 'touch_freshness': 8.0, 'cleanliness': 6.0, 'volume_impulse': 5.0, 'liquidity': 2.0, 'mtf_alignment': 5.0}",False,NEW
XRPUSDT,1D,LONG,EMA_ACCEPTANCE,CONFIRMED,1787270400000,2026-08-21T00:00+00:00,4,95.52424457634054,A,1.3966,1.356606470792206,0.06198807173298952,1.7000000000000002,1.2587000000000002,2.1413,2.5826000000000002,3.0239000000000003,,,25.958823529411763,233315901.33811,1,1,-0.4563129519716221,1.577618507461153,11.335449564687478,,,,,-0.6875141627011105,False,closed-candle acceptance confirmation; decisive body displacement through the EMA; first EMA test episode; volume expansion; 4H regime aligns,EMA slope opposes the setup,"{'valid_setup': 45.0, 'confirmation': 10.0, 'body_displacement': 8.0, 'body_quality': 6.0, 'ema_displacement': 5.0, 'ema_slope': -5.475755423659465, 'touch_freshness': 8.0, 'cleanliness': 6.0, 'volume_impulse': 5.0, 'liquidity': 3.0, 'mtf_alignment': 5.0}",False,NEW
AAVEUSDT,1D,LONG,EMA_ACCEPTANCE,CONFIRMED,1787270400000,2026-08-21T00:00+00:00,4,94.60564654532104,A,125.45,108.27688334823443,5.645709464101818,145.1,98.52,191.68,238.26,284.84000000000003,,,32.10199862164025,14577267.19811,1,1,-0.28286278788991315,2.5529327613139157,7.550962161430682,,,,,-0.42185487333619565,False,closed-candle acceptance confirmation; decisive body displacement through the EMA; first EMA test episode; volume expansion; 4H regime aligns,EMA slope opposes the setup,"{'valid_setup': 45.0, 'confirmation': 10.0, 'body_displacement': 8.0, 'body_quality': 6.0, 'ema_displacement': 5.0, 'ema_slope': -3.3943534546789578, 'touch_freshness': 8.0, 'cleanliness': 6.0, 'volume_impulse': 5.0, 'mtf_alignment': 5.0}",False,NEW
DASHUSDT,1D,LONG,EMA_ACCEPTANCE,CONFIRMED,1787270400000,2026-08-21T00:00+00:00,4,94.31325867373218,A,38.3,36.46123263170472,1.714856350541528,47.56,32.61,62.510000000000005,77.46000000000001,92.41000000000001,,,31.433978132884782,6241331.88073,1,1,-0.30722844385565173,1.311344456102783,7.413590872080088,,,,,-0.6193979933110371,False,closed-candle acceptance confirmation; decisive body displacement through the EMA; first EMA test episode; volume expansion; 4H regime aligns,EMA slope opposes the setup,"{'valid_setup': 45.0, 'confirmation': 10.0, 'body_displacement': 8.0, 'body_quality': 6.0, 'ema_displacement': 5.0, 'ema_slope': -3.686741326267821, 'touch_freshness': 8.0, 'cleanliness': 6.0, 'volume_impulse': 5.0, 'mtf_alignment': 5.0}",False,NEW
ENAUSDT,1D,LONG,EMA_ACCEPTANCE,CONFIRMED,1787270400000,2026-08-21T00:00+00:00,4,93.54526675505652,A,0.14,0.13076290596765394,0.009116530066696412,0.1836,0.1159,0.2513,0.31900000000000006,0.38670000000000004,,,36.873638344226585,28274745.474232,1,1,-0.4176412725216623,1.243575565418425,16.99094463155547,,,,,-0.6440177252584932,False,closed-candle acceptance confirmation; decisive body displacement through the EMA; first EMA test episode; volume expansion; 4H regime aligns,EMA slope opposes the setup,"{'valid_setup': 45.0, 'confirmation': 10.0, 'body_displacement': 8.0, 'body_quality': 4.556962025316458, 'ema_displacement': 5.0, 'ema_slope': -5.011695270259947, 'touch_freshness': 8.0, 'cleanliness': 6.0, 'volume_impulse': 5.0, 'liquidity': 2.0, 'mtf_alignment': 5.0}",False,NEW
NEARUSDT,1D,LONG,EMA_ACCEPTANCE,CONFIRMED,1787270400000,2026-08-21T00:00+00:00,4,90.53659841211375,A,1.865,1.795380702615292,0.09448312289688417,2.148,1.727,2.569,2.99,3.4110000000000005,2.265,0.27790973871733965,19.599627560521416,21351348.8448,1,1,-0.12195013232385389,1.826985519658354,4.466496132287686,,,,,-0.6722090261282663,False,closed-candle acceptance confirmation; decisive body displacement through the EMA; first EMA test episode; volume expansion; 4H regime aligns,EMA slope opposes the setup; less than 1.25R to nearby structure,"{'valid_setup': 45.0, 'confirmation': 10.0, 'body_displacement': 8.0, 'body_quality': 6.0, 'ema_displacement': 5.0, 'ema_slope': -1.4634015878862467, 'touch_freshness': 8.0, 'cleanliness': 6.0, 'volume_impulse': 5.0, 'liquidity': 2.0, 'structure_room': -8.0, 'mtf_alignment': 5.0}",False,NEW
PENGUUSDT,1D,LONG,EMA_ACCEPTANCE,CONFIRMED,1787443200000,2026-08-23T00:00+00:00,2,88.0309427752484,A,0.009316,0.008553676216638294,0.0007097913744033484,0.010579,0.008033,0.013125,0.015670999999999997,0.018216999999999997,,,24.06654693260232,14798757.997421,1,3,-0.2104662388095592,1.8925614367896562,8.5868745349768,,,,,-0.4960722702278085,False,closed-candle acceptance confirmation; decisive body displacement through the EMA; first EMA test episode; volume expansion; 4H regime aligns,EMA slope opposes the setup,"{'valid_setup': 45.0, 'confirmation': 10.0, 'body_displacement': 8.0, 'body_quality': 4.5565376409631195, 'ema_displacement': 5.0, 'ema_slope': -2.5255948657147105, 'touch_freshness': 8.0, 'volume_impulse': 5.0, 'mtf_alignment': 5.0}",False,NEW
XLMUSDT,1D,LONG,EMA_ACCEPTANCE,CONFIRMED,1787270400000,2026-08-21T00:00+00:00,4,86.49325045806795,A,0.1815,0.19110185401812885,0.0089809275889129,0.2227,0.1812,0.2642,0.3057,0.34720000000000006,0.2344,0.28192771084337315,18.634934889986532,12756605.9177,1,1,-0.2922291284943376,1.191207241786271,5.563789195957132,,,,,-0.9927710843373495,False,closed-candle acceptance confirmation; decisive body displacement through the EMA; first EMA test episode; volume expansion; 4H regime aligns,EMA slope opposes the setup; less than 1.25R to nearby structure,"{'valid_setup': 45.0, 'confirmation': 10.0, 'body_displacement': 8.0, 'body_quality': 6.0, 'ema_displacement': 5.0, 'ema_slope': -3.506749541932051, 'touch_freshness': 8.0, 'cleanliness': 6.0, 'volume_impulse': 5.0, 'structure_room': -8.0, 'mtf_alignment': 5.0}",False,NEW
BICOUSDT,4H,LONG,EMA_ACCEPTANCE,CONFIRMED,1787731200000,2026-08-26T08:00+00:00,2,84.04802624397023,A,0.02288,0.022490982816929506,0.0013994543994081392,0.02816,0.020040000000000002,0.03628,0.044399999999999995,0.05252,,,28.835227272727266,16711897.1102055,1,1,-0.18227232280640288,1.214056837999899,6.968480664989226,,,,,-0.6502463054187193,False,closed-candle acceptance confirmation; decisive body displacement through the EMA; first EMA test episode; volume expansion,EMA slope opposes the setup; 1D regime conflicts,"{'valid_setup': 45.0, 'confirmation': 10.0, 'body_displacement': 8.0, 'body_quality': 4.235294117647057, 'ema_displacement': 5.0, 'ema_slope': -2.1872678736768343, 'touch_freshness': 8.0, 'cleanliness': 6.0, 'volume_impulse': 5.0, 'mtf_alignment': -5.0}",True,NEW
INJUSDT,1D,LONG,EMA_ACCEPTANCE,CONFIRMED,1787443200000,2026-08-23T00:00+00:00,2,82.49795853637546,A,5.432,4.985918865600723,0.3439030773521327,6.058,4.735,7.380999999999999,8.703999999999999,10.026999999999997,,,21.838890723010888,6713724.59634,3,3,-0.13281933550027727,1.0761204501242054,2.925255503871994,,,,,-0.47316704459561576,False,closed-candle acceptance confirmation; decisive body displacement through the EMA; volume expansion; 4H regime aligns,EMA slope opposes the setup,"{'valid_setup': 45.0, 'confirmation': 10.0, 'body_displacement': 8.0, 'body_quality': 4.091790562378791, 'ema_displacement': 5.0, 'ema_slope': -1.5938320260033274, 'touch_freshness': 2.0, 'volume_impulse': 5.0, 'mtf_alignment': 5.0}",False,NEW
PORTALUSDT,1D,LONG,EMA_ACCEPTANCE,CONFIRMED,1787529600000,2026-08-24T00:00+00:00,1,79.46180802420132,B,0.01595,0.014216096121247832,0.002442875872528107,0.018500000000000003,0.01353,0.023470000000000005,0.028440000000000007,0.03341000000000001,0.02,0.3018108651911463,26.864864864864874,13115012.476934,2,3,-0.03341142281982419,1.1314139657418743,5.720963987309145,,,,,-0.5130784708249502,False,closed-candle acceptance confirmation; decisive body displacement through the EMA; second EMA test episode; volume expansion; 4H regime aligns,EMA slope opposes the setup; less than 1.25R to nearby structure,"{'valid_setup': 45.0, 'confirmation': 10.0, 'body_displacement': 8.0, 'body_quality': 4.8627450980392135, 'ema_displacement': 5.0, 'ema_slope': -0.4009370738378903, 'touch_freshness': 5.0, 'volume_impulse': 5.0, 'structure_room': -8.0, 'mtf_alignment': 5.0}",True,NEW
PYTHUSDT,1D,SHORT,EMA_ACCEPTANCE,CONFIRMED,1787529600000,2026-08-24T00:00+00:00,1,71.66583928193516,B,0.04909,0.050638398403039894,0.003462956514217147,0.048670000000000005,0.05351,0.04383000000000001,0.03899000000000001,0.034150000000000014,0.04552,0.6508264462809936,9.944524347647414,28384019.493098,1,2,-0.18526770154692632,-0.23055397887962847,112.28770968757729,,,,,-0.08677685950413161,False,closed-candle acceptance confirmation; decisive body displacement through the EMA; EMA slope supports direction; first EMA test episode; volume expansion,less than 1.25R to nearby structure; 4H regime conflicts,"{'valid_setup': 45.0, 'confirmation': 10.0, 'body_displacement': 3.965782786168759, 'body_quality': 4.406417112299467, 'ema_displacement': 1.440962367997678, 'ema_slope': 1.852677015469263, 'touch_freshness': 8.0, 'cleanliness': 3.0, 'volume_impulse': 5.0, 'liquidity': 2.0, 'structure_room': -8.0, 'mtf_alignment': -5.0}",True,NEW
XPLUSDT,4H,LONG,EMA_REJECTION,WATCH,1787760000000,2026-08-26T16:00+00:00,0,77.2348023696673,B,0.08671,0.0848102854449315,0.004692996969883519,0.08575,0.08330000000000001,0.0882,0.09065,0.09309999999999999,0.10047,6.008163265306136,2.8571428571428497,13137051.818225,1,2,0.1272708719361053,0.0787800540765507,0.4699698839785719,,,,,0.3918367346938739,False,valid closed-candle rejection awaiting trigger; EMA sweep/touch closed back on the defended side; EMA slope supports direction; first EMA test episode,weak signal-candle volume; 1D regime conflicts,"{'valid_setup': 45.0, 'confirmation': 8.0, 'close_quality': 7.701352145796701, 'rejection_wick': 7.0, 'range': 0.26074150450955763, 'ema_slope': 1.2727087193610531, 'touch_freshness': 8.0, 'cleanliness': 3.0, 'volume_impulse': -3.0, 'structure_room': 5.0, 'mtf_alignment': -5.0}",True,NEW
USD1USDT,1D,SHORT,EMA_REJECTION,WATCH,1787616000000,2026-08-25T00:00+00:00,0,73.30242905417877,B,0.9997,0.9999734597744991,0.0004429639091174069,0.9994500000000001,1.00007,0.9988300000000001,0.9982100000000002,0.9975900000000002,0.99926,0.3064516129032865,0.062034118765316316,157894887.47753,1,5,-0.01727424919495288,-0.8656682104490063,1.657329151601581,,,,,-0.40322580645159845,False,valid closed-candle rejection awaiting trigger; EMA sweep/touch closed back on the defended side; first EMA test episode; volume expansion; 4H regime aligns,repeated EMA chop; less than 1.25R to nearby structure,"{'valid_setup': 45.0, 'confirmation': 8.0, 'close_quality': 8.095238095239152, 'rejection_wick': 1.555555555554404, 'range': 3.478892911435685, 'ema_slope': 0.1727424919495288, 'touch_freshness': 8.0, 'cleanliness': -6.0, 'volume_impulse': 5.0, 'liquidity': 3.0, 'structure_room': -8.0, 'mtf_alignment': 5.0}",True,NEW
SNDKBUSDT,4H,SHORT,EMA_REJECTION,WATCH,1787760000000,2026-08-26T16:00+00:00,0,68.40838468246962,B,1552.23,1516.2216213743745,37.72110650283742,1491.79,1520.01,1463.57,1435.35,1407.1299999999999,1460.71,1.1013465627214705,1.8916871677649019,41695300.639846,3,2,-0.05790812740612373,-0.46026278081393707,2.6943501678569426,,,,,-2.141743444365698,False,valid closed-candle rejection awaiting trigger; EMA sweep/touch closed back on the defended side; volume expansion,less than 1.25R to nearby structure,"{'valid_setup': 45.0, 'confirmation': 8.0, 'close_quality': 3.6299147234172175, 'rejection_wick': 7.0, 'range': 0.1993886849911639, 'ema_slope': 0.5790812740612372, 'touch_freshness': 2.0, 'cleanliness': 3.0, 'volume_impulse': 5.0, 'liquidity': 2.0, 'structure_room': -8.0}",True,NEW
SUIUSDT,4H,LONG,EMA_REJECTION,WATCH,1787760000000,2026-08-26T16:00+00:00,0,64.68838937708676,C,0.7476,0.726925366649065,0.028499861288198057,0.7452000000000001,0.7239,0.7665000000000002,0.7878000000000003,0.8091000000000004,0.7532,0.3755868544600873,2.8582930756843927,41315605.98302,1,0,0.14816264144550703,0.39560309564046237,0.516223892452027,,,,,0.11267605633802567,False,valid closed-candle rejection awaiting trigger; EMA sweep/touch closed back on the defended side; EMA slope supports direction; first EMA test episode,weak signal-candle volume; less than 1.25R to nearby structure; 1D regime conflicts,"{'valid_setup': 45.0, 'confirmation': 8.0, 'close_quality': 2.689075630252082, 'rejection_wick': 6.954248366013113, 'range': 0.5634389663665061, 'ema_slope': 1.4816264144550702, 'touch_freshness': 8.0, 'cleanliness': 6.0, 'volume_impulse': -3.0, 'liquidity': 2.0, 'structure_room': -8.0, 'mtf_alignment': -5.0}",True,NEW
GRAMUSDT,4H,SHORT,EMA_REJECTION,WATCH,1787745600000,2026-08-26T12:00+00:00,1,59.9301188142973,C,1.399,1.4236070962642338,0.0374873408485279,1.363,1.429,1.297,1.2309999999999999,1.1649999999999998,1.334,0.4393939393939377,4.842259721203233,9061053.40076,4,1,0.061736393220280864,-1.0832215714715963,1.5962478841868826,,,,,-0.5454545454545454,False,valid closed-candle rejection awaiting trigger; EMA sweep/touch closed back on the defended side; volume expansion,EMA slope opposes the setup; EMA is heavily tested; less than 1.25R to nearby structure,"{'valid_setup': 45.0, 'confirmation': 8.0, 'close_quality': 5.084745762711902, 'rejection_wick': 0.26365348399249683, 'range': 4.3225562862362725, 'ema_slope': -0.7408367186433704, 'touch_freshness': -5.0, 'cleanliness': 6.0, 'volume_impulse': 5.0, 'structure_room': -8.0}",True,NEW
ONDOUSDT,1D,SHORT,FAILED_ACCEPTANCE,WATCH,1787356800000,2026-08-22T00:00+00:00,3,57.56991195770395,C,0.3678,0.374934457233832,0.025918921133534056,0.3383,0.4283,0.24829999999999997,0.15829999999999994,0.06829999999999992,0.3131,0.2799999999999999,26.60360626662726,7668503.96803,4,2,-0.122703875541919,-0.4373043606034759,5.7028027789979205,,,,,-0.327777777777778,False,valid closed-candle rejection awaiting trigger; decisive body displacement through the EMA; EMA slope supports direction; volume expansion,EMA is heavily tested; less than 1.25R to nearby structure; 4H regime conflicts,"{'valid_setup': 45.0, 'confirmation': 8.0, 'body_displacement': 8.0, 'body_quality': 2.6097209485130346, 'ema_displacement': 2.733152253771724, 'ema_slope': 1.22703875541919, 'touch_freshness': -5.0, 'cleanliness': 3.0, 'volume_impulse': 5.0, 'structure_room': -8.0, 'mtf_alignment': -5.0}",False,NEW
ONDOUSDT,4H,LONG,EMA_REJECTION,WATCH,1787760000000,2026-08-26T16:00+00:00,0,54.09789749706218,D,0.3678,0.3577870581592225,0.013151887132240428,0.3649,0.3563,0.3735,0.3821,0.3907,0.3707,0.6744186046511598,2.3568100849547813,7668503.96803,4,0,0.08778032403298845,0.5104166248751805,0.3885967800342605,,,,,0.3372093023255831,False,valid closed-candle rejection awaiting trigger; EMA sweep/touch closed back on the defended side,EMA is heavily tested; weak signal-candle volume; less than 1.25R to nearby structure; 1D regime conflicts,"{'valid_setup': 45.0, 'confirmation': 8.0, 'close_quality': 10.0, 'rejection_wick': 4.552845528455287, 'range': 0.6672487282770088, 'ema_slope': 0.8778032403298844, 'touch_freshness': -5.0, 'cleanliness': 6.0, 'volume_impulse': -3.0, 'structure_room': -8.0, 'mtf_alignment': -5.0}",True,NEW
BMTUSDT,1D,LONG,EMA_ACCEPTANCE,FORMING,1787616000000,2026-08-25T00:00+00:00,0,76.35470555493109,B,0.02141,0.01802501273417409,0.003777119271165384,0.024700000000000003,0.014810000000000002,0.03459,0.044480000000000006,0.05437,0.04361,1.9120323559150654,40.040485829959515,29761457.745324,6,2,-0.03115697942771381,1.3542032693735255,5.215590154637055,,,,,-0.33265925176946454,False,decisive body displacement through the EMA; volume expansion; 4H regime aligns,acceptance still needs a hold or retest; EMA slope opposes the setup; EMA is heavily tested,"{'valid_setup': 45.0, 'confirmation': 3.0, 'body_displacement': 8.0, 'body_quality': 5.728589308063652, 'ema_displacement': 5.0, 'ema_slope': -0.3738837531325657, 'touch_freshness': -5.0, 'cleanliness': 3.0, 'volume_impulse': 5.0, 'liquidity': 2.0, 'mtf_alignment': 5.0}",True,NEW
USD1USDT,1D,SHORT,EMA_ACCEPTANCE,FORMING,1787616000000,2026-08-25T00:00+00:00,0,71.16682728548318,B,0.9997,0.9999734597744991,0.0004429639091174069,0.9994500000000001,1.00007,0.9988300000000001,0.9982100000000002,0.9975900000000002,0.99926,0.3064516129032865,0.062034118765316316,157894887.47753,1,5,-0.01727424919495288,-0.8656682104490063,1.657329151601581,,,,,-0.40322580645159845,False,decisive body displacement through the EMA; first EMA test episode; volume expansion; 4H regime aligns,acceptance still needs a hold or retest; repeated EMA chop; less than 1.25R to nearby structure,"{'valid_setup': 45.0, 'confirmation': 3.0, 'body_displacement': 6.170555381768159, 'body_quality': 4.82352941176549, 'ema_displacement': 5.0, 'ema_slope': 0.1727424919495288, 'touch_freshness': 8.0, 'cleanliness': -6.0, 'volume_impulse': 5.0, 'liquidity': 3.0, 'structure_room': -8.0, 'mtf_alignment': 5.0}",True,NEW
XLMUSDT,1D,SHORT,EMA_ACCEPTANCE,FORMING,1787616000000,2026-08-25T00:00+00:00,0,67.64548031576493,C,0.1815,0.19116914296544962,0.011451121222067403,0.1814,0.20040000000000002,0.1624,0.14339999999999997,0.12439999999999996,0.1758,0.2947368421052626,10.474090407938267,12756605.9177,1,2,-0.10378091845707227,-0.7657890258423465,3.448409971578657,,,,,-0.005263157894736257,False,decisive body displacement through the EMA; first EMA test episode; volume expansion,acceptance still needs a hold or retest; less than 1.25R to nearby structure; 4H regime conflicts,"{'valid_setup': 45.0, 'confirmation': 3.0, 'body_displacement': 6.5786862152990615, 'body_quality': 4.242803504380475, 'ema_displacement': 4.786181411514666, 'ema_slope': 1.0378091845707227, 'touch_freshness': 8.0, 'cleanliness': 3.0, 'volume_impulse': 5.0, 'structure_room': -8.0, 'mtf_alignment': -5.0}",True,NEW
TAOUSDT,1D,SHORT,EMA_ACCEPTANCE,FORMING,1787616000000,2026-08-25T00:00+00:00,0,63.9724502449791,C,231.2,235.2239476973436,14.025518542743624,224.10000000000002,246.3,201.90000000000003,179.70000000000005,157.50000000000006,204.5,0.8828828828828844,9.90629183400267,17472239.10095,1,2,-0.1380373559164724,-0.41523938523875237,2.8082590757207533,,,,,-0.31981981981981844,False,decisive body displacement through the EMA; EMA slope supports direction; first EMA test episode; volume expansion,acceptance still needs a hold or retest; less than 1.25R to nearby structure; 4H regime conflicts,"{'valid_setup': 45.0, 'confirmation': 3.0, 'body_displacement': 5.371162078874324, 'body_quality': 3.6256684491978555, 'ema_displacement': 2.595246157742202, 'ema_slope': 1.380373559164724, 'touch_freshness': 8.0, 'cleanliness': 3.0, 'volume_impulse': 5.0, 'structure_room': -8.0, 'mtf_alignment': -5.0}",True,NEW
VIRTUALUSDT,1D,LONG,EMA_REJECTION,TRIGGERED,1787443200000,2026-08-23T00:00+00:00,2,93.07135533050538,A,0.7255,0.6814809293665399,0.04872340498559699,0.7417,0.6499,0.8335,0.9253,1.0171000000000001,,,12.376971821491168,5623690.631,1,1,-0.12364291864096656,1.0368542725697,2.8951162030956605,1787529600000.0,2026-08-24T00:00+00:00,,,-0.17647058823529405,False,EMA sweep/touch closed back on the defended side; first EMA test episode; volume expansion; 4H regime aligns,EMA slope opposes the setup,"{'valid_setup': 45.0, 'confirmation': 4.0, 'close_quality': 10.0, 'rejection_wick': 6.555070354196985, 'range': 5.0, 'ema_slope': -1.4837150236915988, 'touch_freshness': 8.0, 'cleanliness': 6.0, 'volume_impulse': 5.0, 'mtf_alignment': 5.0}",False,NEW
SOLUSDT,1D,LONG,EMA_ACCEPTANCE,TRIGGERED,1787270400000,2026-08-21T00:00+00:00,4,90.20482252927575,A,97.7,91.13104327801591,3.1126529440040747,102.75,87.56,117.94,133.13,148.32,,,14.78345498783455,206146441.63422,1,1,-0.3808094750258681,0.8317524531513272,5.602746058264344,1787616000000.0,2026-08-25T00:00+00:00,,,-0.33245556287030925,False,decisive body displacement through the EMA; first EMA test episode; volume expansion; 4H regime aligns,EMA slope opposes the setup,"{'valid_setup': 45.0, 'confirmation': 4.0, 'body_displacement': 8.0, 'body_quality': 5.774536229586166, 'ema_displacement': 5.0, 'ema_slope': -4.569713700310417, 'touch_freshness': 8.0, 'cleanliness': 6.0, 'volume_impulse': 5.0, 'liquidity': 3.0, 'mtf_alignment': 5.0}",False,NEW
BTCUSDT,1D,LONG,EMA_ACCEPTANCE,TRIGGERED,1787184000000,2026-08-20T00:00+00:00,5,90.03548333568153,A,78730.13,71889.05944312048,1789.6124296331338,79500.01,68902.21,90097.80999999998,100695.60999999997,111293.40999999996,,,13.330564360935288,1124984749.065107,1,1,-0.3936537740750049,0.6348249140806477,3.32084535509031,1787529600000.0,2026-08-24T00:00+00:00,,,-0.07264526599860263,False,decisive body displacement through the EMA; first EMA test episode; volume expansion; 4H regime aligns,EMA slope opposes the setup,"{'valid_setup': 45.0, 'confirmation': 4.0, 'body_displacement': 8.0, 'body_quality': 5.791672911577549, 'ema_displacement': 3.967655713004048, 'ema_slope': -4.723845288900058, 'touch_freshness': 8.0, 'cleanliness': 6.0, 'volume_impulse': 5.0, 'liquidity': 4.0, 'mtf_alignment': 5.0}",False,NEW
VIRTUALUSDT,1D,LONG,EMA_ACCEPTANCE,TRIGGERED,1787270400000,2026-08-21T00:00+00:00,4,89.27040737164616,A,0.7255,0.6808955437321678,0.037996375012881715,0.7681,0.6259,0.9103,1.0525,1.1947,,,18.513214425205053,5623690.631,1,1,-0.22746605236282041,1.166017975472973,4.45274038776168,1787529600000.0,2026-08-24T00:00+00:00,,,-0.2995780590717298,False,decisive body displacement through the EMA; first EMA test episode; volume expansion; 4H regime aligns,EMA slope opposes the setup,"{'valid_setup': 45.0, 'confirmation': 4.0, 'body_displacement': 8.0, 'body_quality': 6.0, 'ema_displacement': 5.0, 'ema_slope': -2.7295926283538448, 'touch_freshness': 8.0, 'cleanliness': 6.0, 'volume_impulse': 5.0, 'mtf_alignment': 5.0}",False,NEW
SOLUSDT,1D,LONG,EMA_REJECTION,TRIGGERED,1787443200000,2026-08-23T00:00+00:00,2,88.71433459786441,A,97.7,91.20030852832127,4.082236467023921,97.22,90.78,103.66,110.1,116.53999999999999,,,6.624151409175065,206146441.63422,1,1,-0.19403950299557687,1.0361211325816,3.6227739931727383,1787529600000.0,2026-08-24T00:00+00:00,,,0.07453416149068387,False,EMA sweep/touch closed back on the defended side; first EMA test episode; volume expansion; 4H regime aligns,EMA slope opposes the setup,"{'valid_setup': 45.0, 'confirmation': 4.0, 'close_quality': 5.252473991372808, 'rejection_wick': 6.216696269982243, 'range': 3.5736383724562804, 'ema_slope': -2.3284740359469227, 'touch_freshness': 8.0, 'cleanliness': 6.0, 'volume_impulse': 5.0, 'liquidity': 3.0, 'mtf_alignment': 5.0}",False,NEW
LINKUSDT,1D,LONG,EMA_ACCEPTANCE,TRIGGERED,1787097600000,2026-08-19T00:00+00:00,6,88.54933503445685,A,11.444,9.707759889962006,0.3878035345796011,12.401,9.486,15.315999999999999,18.230999999999998,21.145999999999997,,,23.506168857350207,21744696.10563,2,1,-0.13043099819272358,2.1898720210444047,4.9110757392540485,1787356800000.0,2026-08-22T00:00+00:00,,,-0.3283018867924526,False,decisive body displacement through the EMA; second EMA test episode; volume expansion; 4H regime aligns,EMA slope opposes the setup,"{'valid_setup': 45.0, 'confirmation': 4.0, 'body_displacement': 8.0, 'body_quality': 5.1145070127695265, 'ema_displacement': 5.0, 'ema_slope': -1.565171978312683, 'touch_freshness': 5.0, 'cleanliness': 6.0, 'volume_impulse': 5.0, 'liquidity': 2.0, 'mtf_alignment': 5.0}",False,NEW
PAXGUSDT,1D,LONG,EMA_REJECTION,TRIGGERED,1786665600000,2026-08-14T00:00+00:00,11,86.44781235749078,A,4593.16,4356.604412435352,73.06185653069974,4394.12,4316.27,4471.969999999999,4549.819999999999,4627.669999999998,4540.56,1.8810533076429228,1.7716857982940715,11419262.125908,1,1,-0.014278829001856517,0.3256909787756207,0.9898160700382859,1786924800000.0,2026-08-17T00:00+00:00,,,2.556711624919735,True,EMA sweep/touch closed back on the defended side; first EMA test episode; 4H regime aligns,EMA slope opposes the setup; DO NOT CHASE: price is already at least 0.75R beyond trigger,"{'valid_setup': 45.0, 'confirmation': 4.0, 'close_quality': 9.252767019694922, 'rejection_wick': 7.0, 'range': 2.3663912858181324, 'ema_slope': -0.1713459480222782, 'touch_freshness': 8.0, 'cleanliness': 6.0, 'mtf_alignment': 5.0}",False,NEW
NEARUSDT,1D,LONG,EMA_REJECTION,TRIGGERED,1787443200000,2026-08-23T00:00+00:00,2,86.31237311529304,A,1.865,1.7983799708984476,0.12611554984476236,2.041,1.784,2.298,2.5549999999999997,2.8119999999999994,2.108,0.26070038910505916,12.591866731994116,21351348.8448,1,1,-0.04160858063079008,1.7255606415658051,3.6674099929306205,1787529600000.0,2026-08-24T00:00+00:00,,,-0.6848249027237354,False,EMA sweep/touch closed back on the defended side; first EMA test episode; volume expansion; 4H regime aligns,EMA slope opposes the setup; less than 1.25R to nearby structure,"{'valid_setup': 45.0, 'confirmation': 4.0, 'close_quality': 10.0, 'rejection_wick': 4.811676082862521, 'range': 5.0, 'ema_slope': -0.49930296756948095, 'touch_freshness': 8.0, 'cleanliness': 6.0, 'volume_impulse': 5.0, 'liquidity': 2.0, 'structure_room': -8.0, 'mtf_alignment': 5.0}",False,NEW
LTCUSDT,1D,SHORT,EMA_REJECTION,TRIGGERED,1787529600000,2026-08-24T00:00+00:00,1,86.15946271311559,A,49.84,54.21222208971506,1.9788277339798628,51.24,54.43,48.050000000000004,44.86000000000001,41.67000000000001,45.75,1.72100313479624,6.225604996096794,23674734.77632,2,0,-0.31758930383197503,-1.2897646651545456,4.011243398243533,1787616000000.0,2026-08-25T00:00+00:00,,,0.4388714733542318,False,EMA sweep/touch closed back on the defended side; EMA slope supports direction; second EMA test episode; volume expansion,4H regime conflicts,"{'valid_setup': 45.0, 'confirmation': 4.0, 'close_quality': 10.0, 'rejection_wick': 7.0, 'range': 3.98356967479584, 'ema_slope': 3.1758930383197503, 'touch_freshness': 5.0, 'cleanliness': 6.0, 'volume_impulse': 5.0, 'liquidity': 2.0, 'mtf_alignment': -5.0}",True,NEW
